air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,2,1,0,0,2080588,apartment,119,73000,0,3,1,0,0,alicante,1,0,0,0
0,0,1,1,0,0,2102401,house,100,80000,0,6,1,0,0,alicante,0,1,0,0
1,0,1,0,0,1,430290,house,8000,130000,0,4,1,1,0,alicante,0,1,0,0
0,0,2,1,0,0,2152655,apartment,130,110000,0,3,1,0,1,alicante,1,0,0,0
1,0,2,1,0,0,26926462,apartment,104,120000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,27208288,house,139,75000,0,4,0,0,1,alicante,0,1,0,0
0,1,2,1,0,1,27271444,apartment,180,190000,1,4,1,0,1,alicante,1,0,0,0
1,0,2,1,0,0,27880710,apartment,114,114000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,1,39696439,apartment,90,99900,0,3,1,1,1,alicante,1,0,0,0
0,0,2,1,0,1,28482622,apartment,93,95000,0,3,1,1,1,alicante,1,0,0,0
1,1,1,1,0,0,28492281,apartment,90,75000,0,4,0,0,1,alicante,1,0,0,0
1,0,2,1,0,0,28516476,apartment,90,90000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,29195165,apartment,90,75000,0,4,1,0,1,alicante,1,0,0,0
0,0,1,1,1,1,28251065,rural_property,7000,48000,0,1,0,0,0,alicante,0,0,0,1
0,0,3,1,0,1,29417305,house,17000,249000,0,5,1,1,1,alicante,0,1,0,0
0,0,2,1,0,0,29771183,apartment,135,98000,0,3,0,0,1,alicante,1,0,0,0
