air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
1,0,4,1,0,0,84116292,house,142,0,5,0,1,1,sevilla,0,1,0,0
0,0,1,0,0,1,30901528,house,1500,0,4,0,1,0,valencia,0,1,0,0
1,1,3,1,0,1,82961163,house,1000,0,4,1,1,1,sevilla,0,1,0,0
1,0,2,1,0,1,83661590,apartment,90,0,2,0,0,0,madrid,1,0,0,0
1,0,2,1,0,0,83281261,apartment,110,0,3,1,0,1,madrid,1,0,0,0
0,0,1,0,1,0,37577058,house,200,0,5,0,0,1,sevilla,0,1,0,0
0,0,2,0,0,0,40412303,house,300,0,5,0,0,0,sevilla,0,1,0,0
0,0,1,1,0,0,27352472,apartment,60,0,1,0,0,1,madrid,1,0,0,0
0,0,2,0,0,0,84893156,apartment,126,0,3,0,0,1,sevilla,1,0,0,0
0,0,1,0,0,0,40332338,apartment,134,0,5,1,0,1,valencia,1,0,0,0
0,0,2,1,0,0,81251702,apartment,110,0,3,0,0,1,valencia,1,0,0,0
0,0,3,1,0,0,28738619,house,870,0,4,0,0,0,girona,0,1,0,0
1,0,4,1,0,1,36466911,house,10000,0,3,0,1,1,sevilla,0,1,0,0
0,0,2,0,0,0,81184843,apartment,68,0,2,1,0,1,girona,1,0,0,0
1,0,1,1,0,0,84512924,apartment,36,0,1,1,0,1,madrid,1,0,0,0
0,0,3,0,0,0,82957668,house,178,0,3,1,0,1,sevilla,0,1,0,0
0,0,1,0,0,0,84231772,apartment,50,0,1,0,0,1,girona,1,0,0,0
0,0,1,0,0,0,84801260,apartment,46,0,1,0,1,1,girona,1,0,0,0
0,0,1,0,0,0,25688250,apartment,42,0,3,0,0,0,sevilla,1,0,0,0
1,0,3,1,0,0,28326163,house,120,0,3,0,0,0,sevilla,0,1,0,0
1,0,1,0,0,1,81991655,house,900,0,3,0,1,0,sevilla,0,1,0,0
1,0,1,1,0,0,84960785,apartment,76,0,2,0,0,0,madrid,1,0,0,0
1,0,4,1,0,1,35057378,house,600,0,5,1,1,1,sevilla,0,1,0,0
1,1,2,1,0,0,82251088,apartment,98,0,2,0,0,0,madrid,1,0,0,0
0,0,1,0,0,1,81347611,house,1000,0,2,1,1,1,valencia,0,1,0,0
1,1,2,1,0,0,40442318,house,130,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,82970450,house,225,0,4,0,0,0,sevilla,0,1,0,0
1,0,1,0,0,0,82817274,apartment,96,0,3,0,0,1,madrid,1,0,0,0
0,0,1,0,0,0,38528866,apartment,59,0,3,0,0,0,valencia,1,0,0,0
0,1,1,0,0,0,33950447,apartment,95,0,3,1,0,0,valencia,1,0,0,0
1,0,2,1,0,0,38488680,apartment,100,0,3,0,0,0,valencia,1,0,0,0
0,0,2,0,0,0,36122277,apartment,100,0,2,0,0,1,girona,1,0,0,0
0,0,2,0,0,1,37966354,house,410,0,3,1,0,1,girona,0,1,0,0
0,1,1,0,0,0,40437234,apartment,57,0,2,0,0,1,girona,1,0,0,0
1,0,2,1,0,1,82917088,apartment,115,0,3,0,1,1,sevilla,1,0,0,0
0,0,2,0,0,0,84646968,apartment,103,0,3,0,1,0,girona,1,0,0,0
0,0,2,0,0,1,34374908,house,500,0,3,0,1,1,alicante,0,1,0,0
1,0,1,0,0,0,84740292,apartment,61,0,2,0,0,1,madrid,1,0,0,0
0,0,1,0,0,0,83942564,apartment,56,0,2,0,0,0,madrid,1,0,0,0
0,0,1,0,0,0,81475944,apartment,90,0,3,0,0,0,valencia,1,0,0,0
0,0,2,1,0,1,37379241,house,410,0,4,1,1,0,sevilla,0,1,0,0
0,0,2,0,0,0,35376222,house,126,0,4,0,1,0,girona,0,1,0,0
0,0,2,1,0,0,84651864,apartment,92,1,3,0,0,1,madrid,1,0,0,0
0,0,1,0,0,0,83825616,apartment,156,0,1,0,0,0,alicante,1,0,0,0
